lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
209,0,55.96,7,29,4,4,1,0,0,0
104,1,83.12,7,6,4,4,0,0,0,1
42,1,152.1,8,14,4,2,2,0,0,1
201,3,82.28,11,1,4,4,0,0,0,1
79,0,139.5,7,11,4,4,1,0,3,1
36,1,90.09,9,25,4,0,2,0,0,1
308,0,52.0,11,25,3,2,0,0,0,0
90,1,171.9,11,7,4,1,1,0,0,1
39,0,116.1,5,12,4,2,0,3,0,0
84,1,134.1,8,4,4,2,0,0,3,1
74,0,102.68,9,18,3,0,2,0,0,1
3,2,130.0,10,13,4,1,0,0,0,1
184,1,80.75,7,7,4,3,1,3,0,1
4,1,160.5,6,18,4,1,1,0,3,1
1,0,65.0,4,1,2,1,0,0,0,1
108,0,98.25,9,19,4,1,2,0,0,0
20,0,80.0,1,18,2,1,1,0,0,1
139,0,90.95,9,5,3,1,1,0,3,1
34,0,48.67,1,17,3,1,2,0,3,1
18,0,75.54,12,1,4,6,2,3,0,1
162,2,139.05,8,21,4,2,2,0,3,0
42,0,103.84,4,21,4,3,1,0,0,1
46,0,85.0,3,21,3,3,1,0,0,1
7,0,144.0,5,5,3,3,0,0,0,1
275,2,118.2,9,23,4,2,1,0,0,0
179,1,96.3,7,1,4,1,0,0,0,0
100,0,88.74,12,26,4,4,1,3,0,0
18,2,76.81,9,2,4,3,0,0,0,1
192,0,95.0,6,24,3,2,0,0,0,1
13,0,78.0,12,20,4,3,0,3,0,1
35,0,219.6,8,19,4,3,2,1,3,0
1,0,100.0,10,2,3,2,0,0,0,1
11,1,130.0,11,5,4,1,0,0,0,0
32,0,73.0,11,20,3,2,0,0,0,1
39,0,101.5,8,14,3,2,0,1,0,1
60,0,65.0,4,25,2,0,1,0,0,1
100,0,80.75,9,25,3,1,2,0,0,1
169,0,106.0,4,22,3,2,2,1,0,0
29,1,66.18,12,2,2,2,0,0,0,1
99,0,81.0,2,19,2,1,0,0,0,1
280,1,73.95,11,16,4,4,0,0,0,0
71,0,80.0,5,10,3,3,0,0,0,1
11,1,95.48,3,16,4,3,0,0,3,1
45,0,71.1,3,12,4,1,1,3,0,0
28,1,97.63,4,17,4,1,2,0,0,0
196,0,72.25,8,1,3,5,2,0,0,1
113,1,116.1,6,13,4,2,1,3,0,1
1,0,60.0,2,28,3,1,2,0,0,0
89,1,96.3,4,12,4,3,0,0,0,1
55,1,78.3,3,16,4,2,0,0,0,1
15,1,142.67,6,21,4,3,0,0,3,1
34,1,118.96,3,10,4,8,3,0,3,0
24,0,99.5,9,7,3,2,1,0,0,1
3,0,147.67,3,24,4,3,0,0,0,0
